,選　手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率,球団,成績種別
*,山﨑　伊織,24,53,44,1,6,2,0,0,8,4,0,0,8,0,1,0,0,19,0,.136,.182,.156,読売ジャイアンツ,打撃成績
*,横川　凱,12,8,4,0,1,0,0,0,1,1,0,0,4,0,0,0,0,1,0,.250,.250,.250,読売ジャイアンツ,打撃成績
*,吉川　尚輝,143,602,536,65,154,25,4,5,202,46,12,5,13,6,41,2,6,61,8,.287,.377,.341,読売ジャイアンツ,打撃成績
読売ジャイアンツ||,公式戦(セ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,打撃成績
CS(ファイナルS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,打撃成績
*,伊藤　将司,18,22,18,2,1,0,0,0,1,0,0,0,4,0,0,0,0,11,0,.056,.056,.056,阪神タイガース,打撃成績
*,糸原　健斗,89,128,111,8,24,2,0,0,26,9,0,0,0,1,15,0,1,20,3,.216,.234,.313,阪神タイガース,打撃成績
*,岩崎　優,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,岩貞　祐太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
+,植田　海,59,11,11,11,3,0,1,0,5,3,4,1,0,0,0,0,0,3,0,.273,.455,.273,阪神タイガース,打撃成績
*,漆原　大晟,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,大竹　耕太郎,24,51,46,2,8,1,0,0,9,3,0,0,5,0,0,0,0,22,2,.174,.196,.174,阪神タイガース,打撃成績
*,小幡　竜平,50,135,116,12,28,3,1,1,36,9,2,3,7,0,12,1,0,27,1,.241,.310,.313,阪神タイガース,打撃成績
*,及川　雅貴,9,6,6,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,.500,.500,.500,阪神タイガース,打撃成績
*,川原　陸,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,木浪　聖也,116,409,359,27,77,13,1,1,95,35,1,0,13,1,32,4,4,64,17,.214,.265,.285,阪神タイガース,打撃成績
*,桐敷　拓馬,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,ゲラ,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,佐藤　輝明,120,496,451,58,121,21,4,16,198,70,0,2,0,4,36,2,5,133,11,.268,.439,.327,阪神タイガース,打撃成績
*,島田　海吏,62,94,80,8,22,2,0,0,24,2,5,3,3,0,10,0,1,16,2,.275,.300,.363,阪神タイガース,打撃成績
*,島本　浩也,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,髙橋　遥人,5,12,9,0,2,0,0,0,2,0,0,0,2,0,1,0,0,5,0,.222,.222,.300,阪神タイガース,打撃成績
*,近本　光司,141,639,562,71,160,16,5,6,204,45,19,9,0,4,68,5,5,93,7,.285,.363,.365,阪神タイガース,打撃成績
*,富田　蓮,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,阪神タイガース,打撃成績
*,中野　拓夢,143,634,547,63,127,20,2,1,154,32,6,7,35,1,46,0,5,97,10,.232,.282,.297,阪神タイガース,打撃成績
*,前川　右京,116,362,324,25,87,16,0,4,115,42,0,0,0,1,27,0,10,50,7,.269,.355,.343,阪神タイガース,打撃成績
*,村上　頌樹,25,48,44,0,5,0,0,0,5,3,0,0,3,0,1,0,0,24,0,.114,.114,.133,阪神タイガース,打撃成績
*,門別　啓人,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,阪神タイガース,打撃成績
阪神タイガース||,公式戦(セ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,阪神タイガース,打撃成績
CS(ファーストS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,阪神タイガース,打撃成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,阪神タイガース,打撃成績
*,東　克樹,26,63,51,3,5,0,0,0,5,1,0,0,8,0,4,0,0,16,1,.098,.098,.164,横浜DeNAベイスターズ,打撃成績
*,石上　泰輝,26,79,71,3,13,4,0,0,17,3,2,0,2,0,6,2,0,17,3,.183,.239,.247,横浜DeNAベイスターズ,打撃成績
*,石田　健大,6,13,12,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7,0,.083,.083,.083,横浜DeNAベイスターズ,打撃成績
*,井上　絢登,25,48,42,2,8,5,0,0,13,4,1,0,2,0,2,1,2,8,1,.190,.310,.261,横浜DeNAベイスターズ,打撃成績
*,ウィック,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,横浜DeNAベイスターズ,打撃成績
*,梶原　昂希,91,351,339,49,99,16,3,4,133,30,16,2,1,0,7,3,4,98,2,.292,.392,.314,横浜DeNAベイスターズ,打撃成績
*,神里　和毅,25,25,23,3,3,0,0,0,3,0,2,0,0,0,1,0,1,12,0,.130,.130,.200,横浜DeNAベイスターズ,打撃成績
*,京田　陽太,101,236,216,18,53,7,1,1,65,27,3,1,4,3,13,2,0,43,4,.245,.301,.284,横浜DeNAベイスターズ,打撃成績
*,楠本　泰史,18,31,29,0,5,1,0,0,6,5,0,0,0,0,1,0,1,5,0,.172,.207,.226,横浜DeNAベイスターズ,打撃成績
*,ケイ,24,46,38,1,0,0,0,0,0,1,0,0,5,0,3,0,0,22,0,.000,.000,.073,横浜DeNAベイスターズ,打撃成績
*,坂本　裕哉,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,横浜DeNAベイスターズ,打撃成績
*,佐野　恵太,139,566,524,51,143,34,0,8,201,62,0,0,0,3,35,3,4,53,17,.273,.384,.322,横浜DeNAベイスターズ,打撃成績
*,柴田　竜拓,82,34,23,4,6,0,0,0,6,2,1,0,7,0,3,1,1,7,0,.261,.261,.370,横浜DeNAベイスターズ,打撃成績
*,関根　大気,79,142,128,14,29,2,0,0,31,4,2,3,1,0,11,0,2,19,2,.227,.242,.298,横浜DeNAベイスターズ,打撃成績
*,筒香　嘉智,57,168,149,12,28,6,3,7,61,23,0,0,0,1,16,1,2,51,5,.188,.409,.274,横浜DeNAベイスターズ,打撃成績
*,ディアス,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,横浜DeNAベイスターズ,打撃成績
*,戸柱　恭孝,46,97,90,4,22,4,0,0,26,4,0,0,1,0,5,0,1,15,5,.244,.289,.292,横浜DeNAベイスターズ,打撃成績
*,中川　颯,29,14,12,1,3,0,0,1,6,3,0,0,2,0,0,0,0,3,0,.250,.500,.250,横浜DeNAベイスターズ,打撃成績
*,濵口　遥大,11,15,14,1,3,0,0,0,3,0,0,0,0,0,1,0,0,7,0,.214,.214,.267,横浜DeNAベイスターズ,打撃成績
*,林　琢真,63,114,102,11,17,5,1,0,24,7,6,3,2,1,8,2,1,24,2,.167,.235,.232,横浜DeNAベイスターズ,打撃成績
*,フォード,6,22,20,1,4,0,0,1,7,2,0,0,0,0,2,0,0,2,0,.200,.350,.273,横浜DeNAベイスターズ,打撃成績
*,松本　隆之介,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,横浜DeNAベイスターズ,打撃成績
+,三嶋　一輝,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,横浜DeNAベイスターズ,打撃成績
*,森　敬斗,71,200,187,16,47,12,1,0,61,5,8,6,0,1,12,2,0,43,4,.251,.326,.295,横浜DeNAベイスターズ,打撃成績
*,森原　康平,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,横浜DeNAベイスターズ,打撃成績
*,度会　隆輝,75,272,251,21,64,7,1,3,82,24,2,2,1,1,12,0,7,43,6,.255,.327,.306,横浜DeNAベイスターズ,打撃成績
横浜DeNAベイスターズ||,公式戦(セ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,打撃成績
CS(ファーストS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,打撃成績
CS(ファイナルS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,打撃成績
日本シリーズ,：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,打撃成績
ファーム選手権,：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,打撃成績
*,秋山　翔吾,138,587,547,60,158,20,1,4,192,30,6,5,2,4,29,3,5,96,6,.289,.351,.328,広島東洋カープ,打撃成績
*,宇草　孔基,41,75,66,10,16,2,0,3,27,8,3,1,3,0,4,0,2,22,1,.242,.409,.306,広島東洋カープ,打撃成績
*,大盛　穂,74,35,31,7,7,2,0,0,9,4,2,1,2,0,2,0,0,10,0,.226,.290,.273,広島東洋カープ,打撃成績
*,黒原　拓未,53,2,1,1,1,0,1,0,3,1,0,0,1,0,0,0,0,0,0,1.000,3.000,1.000,広島東洋カープ,打撃成績
*,小園　海斗,143,588,540,52,151,15,3,2,178,61,13,9,7,5,30,6,6,53,6,.280,.330,.322,広島東洋カープ,打撃成績
*,坂倉　将吾,121,462,427,43,119,19,1,12,176,44,3,2,1,2,31,3,1,80,7,.279,.412,.328,広島東洋カープ,打撃成績
*,佐藤　啓介,7,17,15,1,2,0,0,0,2,0,0,0,0,0,2,0,0,3,0,.133,.133,.235,広島東洋カープ,打撃成績
*,髙　太一,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,高橋　昂也,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,滝田　一希,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,広島東洋カープ,打撃成績
*,田中　広輔,66,108,96,5,15,2,0,2,23,7,1,1,0,2,9,0,1,26,2,.156,.240,.231,広島東洋カープ,打撃成績
*,玉村　昇悟,15,19,18,1,3,0,0,0,3,2,0,0,1,0,0,0,0,9,1,.167,.167,.167,広島東洋カープ,打撃成績
*,田村　俊介,37,106,101,4,20,3,2,0,27,5,1,1,1,0,3,1,1,27,2,.198,.267,.229,広島東洋カープ,打撃成績
*,床田　寛樹,26,52,45,1,8,0,0,0,8,1,0,0,7,0,0,0,0,7,0,.178,.178,.178,広島東洋カープ,打撃成績
*,中村　貴浩,11,25,24,4,5,0,0,0,5,3,0,0,1,0,0,0,0,5,1,.208,.208,.208,広島東洋カープ,打撃成績
*,韮澤　雄也,11,15,15,1,2,0,0,0,2,0,0,0,0,0,0,0,0,2,1,.133,.133,.133,広島東洋カープ,打撃成績
*,野間　峻祥,113,443,391,40,106,14,5,1,133,28,8,5,3,1,43,1,5,52,9,.271,.340,.350,広島東洋カープ,打撃成績
*,ハーン,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,長谷部　銀次,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,羽月　隆太郎,53,25,22,12,5,1,0,0,6,1,12,7,2,0,1,0,0,8,0,.227,.273,.261,広島東洋カープ,打撃成績
*,林　晃汰,27,64,60,4,11,4,0,0,15,2,0,0,0,0,4,1,0,20,3,.183,.250,.234,広島東洋カープ,打撃成績
*,塹江　敦哉,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,松山　竜平,65,78,73,2,13,4,0,1,20,10,0,0,0,1,4,3,0,12,5,.178,.274,.218,広島東洋カープ,打撃成績
*,森　翔平,5,8,6,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,.167,.167,.167,広島東洋カープ,打撃成績
*,森浦　大輔,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,矢野　雅哉,137,495,430,45,112,13,6,2,143,38,13,10,20,4,38,1,3,109,8,.260,.333,.322,広島東洋カープ,打撃成績
広島東洋カープ||,公式戦(セ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,広島東洋カープ,打撃成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,広島東洋カープ,打撃成績
*,青木　宣親,72,129,118,9,27,5,0,0,32,9,2,0,0,1,10,2,0,17,7,.229,.271,.287,東京ヤクルトスワローズ,打撃成績
*,石川　雅規,9,12,9,0,1,0,0,0,1,0,0,0,3,0,0,0,0,4,0,.111,.111,.111,東京ヤクルトスワローズ,打撃成績
*,石原　勇輝,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,岩田　幸宏,81,140,123,19,28,2,0,1,33,7,10,0,9,0,6,2,2,22,2,.228,.268,.275,東京ヤクルトスワローズ,打撃成績
*,太田　賢吾,18,50,49,5,10,1,1,0,13,5,0,0,0,0,1,0,0,14,0,.204,.265,.220,東京ヤクルトスワローズ,打撃成績
*,尾仲　祐哉,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,金久保　優斗,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,嘉弥真　新也,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,川端　慎吾,61,61,58,1,13,0,0,0,13,6,0,0,0,0,2,0,1,9,1,.224,.224,.262,東京ヤクルトスワローズ,打撃成績
*,小澤　怜史,40,15,13,0,2,0,0,0,2,0,0,0,2,0,0,0,0,4,0,.154,.154,.154,東京ヤクルトスワローズ,打撃成績
*,阪口　皓亮,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,澤井　廉,12,27,25,1,4,0,0,1,7,4,0,0,1,0,0,0,1,12,0,.160,.280,.192,東京ヤクルトスワローズ,打撃成績
*,清水　昇,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,高橋　奎二,21,40,38,2,6,0,0,0,6,0,0,0,1,0,1,0,0,16,0,.158,.158,.179,東京ヤクルトスワローズ,打撃成績
*,田口　麗斗,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,武岡　龍世,76,147,130,16,23,2,1,3,36,9,1,0,6,1,10,1,0,33,2,.177,.277,.234,東京ヤクルトスワローズ,打撃成績
*,長岡　秀樹,143,611,566,63,163,25,1,6,208,58,4,1,10,3,29,2,3,70,6,.288,.367,.324,東京ヤクルトスワローズ,打撃成績
*,西川　遥輝,113,363,308,43,80,13,2,1,100,24,10,2,3,6,40,1,6,51,3,.260,.325,.350,東京ヤクルトスワローズ,打撃成績
*,橋本　星哉,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,長谷川　宙輝,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,丸山　和郁,96,296,253,30,61,7,1,0,70,12,4,2,17,0,24,1,2,49,2,.241,.277,.312,東京ヤクルトスワローズ,打撃成績
*,丸山　翔大,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,宮本　丈,60,164,147,12,38,3,0,0,41,6,1,0,4,1,11,0,1,25,3,.259,.279,.313,東京ヤクルトスワローズ,打撃成績
*,村上　宗隆,143,610,500,82,122,13,1,33,236,86,10,5,0,1,105,9,4,180,6,.244,.472,.379,東京ヤクルトスワローズ,打撃成績
+,ヤフーレ,23,40,36,0,1,0,0,0,1,0,0,0,4,0,0,0,0,18,1,.028,.028,.028,東京ヤクルトスワローズ,打撃成績
*,山崎　晃大朗,22,39,30,4,4,0,0,0,4,1,1,0,6,0,3,0,0,13,0,.133,.133,.212,東京ヤクルトスワローズ,打撃成績
*,山野　太一,14,14,10,0,0,0,0,0,0,1,0,0,4,0,0,0,0,5,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,山本　大貴,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
東京ヤクルトスワローズ||,公式戦(セ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,東京ヤクルトスワローズ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,東京ヤクルトスワローズ,打撃成績
*,板山　祐太郎,65,194,178,11,42,4,3,3,61,13,1,1,1,1,14,2,0,36,9,.236,.343,.290,中日ドラゴンズ,打撃成績
*,上林　誠知,46,102,94,6,18,1,1,1,24,3,0,0,1,0,7,1,0,22,0,.191,.255,.248,中日ドラゴンズ,打撃成績
*,宇佐見　真吾,61,164,152,7,46,8,0,3,63,17,0,0,1,2,9,0,0,38,5,.303,.414,.337,中日ドラゴンズ,打撃成績
*,大島　洋平,75,125,116,7,23,6,0,0,29,5,1,1,0,0,9,1,0,11,0,.198,.250,.256,中日ドラゴンズ,打撃成績
*,大野　雄大,9,15,12,1,1,0,0,0,1,1,0,0,2,0,1,0,0,7,0,.083,.083,.154,中日ドラゴンズ,打撃成績
*,小笠原　慎之介,24,44,36,0,3,0,0,0,3,0,0,0,7,0,1,0,0,17,0,.083,.083,.108,中日ドラゴンズ,打撃成績
*,岡林　勇希,123,460,425,34,109,10,3,0,125,12,10,7,6,0,29,2,0,62,2,.256,.294,.304,中日ドラゴンズ,打撃成績
*,尾田　剛樹,65,12,11,8,0,0,0,0,0,0,4,5,1,0,0,0,0,4,0,.000,.000,.000,中日ドラゴンズ,打撃成績
*,川越　誠司,27,75,71,4,19,3,0,2,28,7,0,0,0,0,4,0,0,17,2,.268,.394,.307,中日ドラゴンズ,打撃成績
*,後藤　駿太,29,35,32,1,4,0,0,0,4,1,0,0,1,0,2,0,0,9,0,.125,.125,.176,中日ドラゴンズ,打撃成績
*,齋藤　綱記,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,中日ドラゴンズ,打撃成績
*,祖父江　大輔,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,中日ドラゴンズ,打撃成績
*,高橋　周平,60,190,173,8,45,6,0,2,57,16,0,1,3,0,13,2,1,40,7,.260,.329,.316,中日ドラゴンズ,打撃成績
*,ディカーソン,32,102,88,9,18,4,0,3,31,5,1,0,0,0,12,2,2,19,2,.205,.352,.314,中日ドラゴンズ,打撃成績
*,根尾　昂,3,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,.500,1.000,.500,中日ドラゴンズ,打撃成績
*,橋本　侑樹,47,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,中日ドラゴンズ,打撃成績
*,樋口　正修,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.000,.000,.000,中日ドラゴンズ,打撃成績
*,福　敬登,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,中日ドラゴンズ,打撃成績
*,マルティネス,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,中日ドラゴンズ,打撃成績
*,松葉　貴大,17,30,24,1,5,0,0,0,5,2,0,0,6,0,0,0,0,8,0,.208,.208,.208,中日ドラゴンズ,打撃成績
*,味谷　大誠,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,中日ドラゴンズ,打撃成績
*,三好　大倫,37,90,82,6,18,2,1,0,22,4,0,0,1,1,5,0,1,22,2,.220,.268,.270,中日ドラゴンズ,打撃成績
*,村松　開人,109,418,371,35,102,14,3,1,125,25,3,4,14,3,26,1,4,81,7,.275,.337,.327,中日ドラゴンズ,打撃成績
*,山浅　龍之介,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,中日ドラゴンズ,打撃成績
*,龍空,17,45,44,1,7,1,0,0,8,2,1,0,0,0,1,0,0,11,0,.159,.182,.178,中日ドラゴンズ,打撃成績
中日ドラゴンズ||,公式戦(セ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,中日ドラゴンズ,打撃成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,中日ドラゴンズ,打撃成績
*,大関　友久,20,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.250,.250,.250,福岡ソフトバンクホークス,打撃成績
*,大津　亮介,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,尾形　崇斗,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,緒方　理貢,86,62,52,19,9,1,1,0,12,4,4,1,3,0,7,0,0,10,2,.173,.231,.271,福岡ソフトバンクホークス,打撃成績
*,川瀬　晃,105,156,138,17,36,2,2,0,42,7,2,2,10,1,7,1,0,24,0,.261,.304,.295,福岡ソフトバンクホークス,打撃成績
*,川村　友斗,88,140,123,27,33,8,2,1,48,14,3,1,3,1,10,0,3,43,1,.268,.390,.336,福岡ソフトバンクホークス,打撃成績
*,木村　光,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,栗原　陵矢,140,598,527,74,144,40,2,20,248,87,2,1,10,7,49,1,5,99,10,.273,.471,.337,福岡ソフトバンクホークス,打撃成績
*,近藤　健介,129,535,436,66,137,29,2,19,227,72,11,1,0,1,92,11,6,76,10,.314,.521,.439,福岡ソフトバンクホークス,打撃成績
*,笹川　吉康,7,21,21,3,6,0,0,1,9,2,2,1,0,0,0,0,0,6,0,.286,.429,.286,福岡ソフトバンクホークス,打撃成績
*,周東　佑京,123,477,428,63,115,15,5,2,146,26,41,13,10,3,26,0,10,90,4,.269,.341,.323,福岡ソフトバンクホークス,打撃成績
*,田浦　文丸,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,谷川原　健太,4,10,9,3,4,1,1,0,7,2,0,0,0,0,0,0,1,2,0,.444,.778,.500,福岡ソフトバンクホークス,打撃成績
+,仲田　慶介,24,16,14,2,3,0,0,0,3,0,0,0,1,0,1,0,0,3,1,.214,.214,.267,福岡ソフトバンクホークス,打撃成績
