,選　手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率,球団,成績種別
*,秋広　優人,26,48,46,5,12,1,0,0,13,1,1,0,0,0,2,0,0,12,1,.261,.283,.292,読売ジャイアンツ,打撃成績
*,泉口　友汰,66,185,164,10,33,6,1,1,44,9,1,0,3,0,18,1,0,24,2,.201,.268,.280,読売ジャイアンツ,打撃成績
*,井上　温大,25,34,28,1,4,0,0,0,4,2,0,0,5,0,1,0,0,9,0,.143,.143,.172,読売ジャイアンツ,打撃成績
*,今村　信貴,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,大江　竜聖,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,大城　卓三,96,321,283,19,72,17,0,3,98,27,0,0,0,4,31,2,3,62,3,.254,.346,.330,読売ジャイアンツ,打撃成績
*,岡田　悠希,4,9,7,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,.143,.143,.333,読売ジャイアンツ,打撃成績
*,梶谷　隆幸,6,17,16,2,3,0,0,1,6,2,0,0,0,0,1,0,0,4,1,.188,.375,.235,読売ジャイアンツ,打撃成績
*,門脇　誠,129,405,350,29,85,9,1,0,96,21,9,3,16,0,37,7,2,63,3,.243,.274,.319,読売ジャイアンツ,打撃成績
*,グリフィン,20,35,30,0,3,2,0,0,5,2,0,0,5,0,0,0,0,11,0,.100,.167,.100,読売ジャイアンツ,打撃成績
*,佐々木　俊輔,59,156,143,13,33,5,1,0,40,6,2,1,3,1,9,0,0,44,3,.231,.280,.275,読売ジャイアンツ,打撃成績
*,重信　慎之介,33,18,15,6,1,0,0,0,1,0,6,1,0,0,3,0,0,6,0,.067,.067,.222,読売ジャイアンツ,打撃成績
*,高梨　雄平,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,立岡　宗一郎,48,99,84,12,18,0,0,0,18,8,3,2,4,0,11,1,0,19,0,.214,.214,.305,読売ジャイアンツ,打撃成績
*,中川　皓太,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,中山　礼都,32,48,44,2,14,3,0,0,17,2,0,0,0,0,4,0,0,12,1,.318,.386,.375,読売ジャイアンツ,打撃成績
*,バルドナード,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,畠　世周,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,船迫　大雅,51,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,又木　鉄平,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,読売ジャイアンツ,打撃成績
*,松原　聖弥,9,16,13,1,2,0,0,0,2,2,0,0,0,0,3,0,0,5,0,.154,.154,.313,読売ジャイアンツ,打撃成績
*,丸　佳浩,138,595,525,51,146,18,1,14,208,45,8,4,0,2,65,5,3,93,9,.278,.396,.360,読売ジャイアンツ,打撃成績
*,メンデス,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,読売ジャイアンツ,打撃成績
