,投　手,登板,勝利,敗北,セ｜ブ,ホ｜ル,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,,安打,本塁打,四球,故意四,死球,三振,暴投,ボ｜ク,失点,自責点,防御率,球団,成績種別
*,井上　温大,25,8,5,0,2,3,0,0,0,.615,413,101,,87,5,27,1,3,99,3,0,33,31,2.76,読売ジャイアンツ,投手成績
*,今村　信貴,7,0,0,0,0,0,0,0,0,.000,30,8,,6,0,1,0,1,7,0,0,2,2,2.25,読売ジャイアンツ,投手成績
*,大江　竜聖,16,0,0,0,5,5,0,0,0,.000,56,13,.2,9,1,8,0,0,13,0,0,4,4,2.63,読売ジャイアンツ,投手成績
*,グリフィン,20,6,4,0,0,0,0,0,0,.600,468,116,.2,99,9,23,0,4,126,0,1,40,39,3.01,読売ジャイアンツ,投手成績
*,高梨　雄平,51,4,3,0,25,29,0,0,0,.571,145,35,.1,26,1,15,2,0,29,1,0,9,8,2.04,読売ジャイアンツ,投手成績
*,中川　皓太,15,0,2,0,7,7,0,0,0,.000,60,12,.1,19,3,3,0,0,7,0,0,12,12,8.76,読売ジャイアンツ,投手成績
*,バルドナード,58,2,3,9,26,28,0,0,0,.400,220,51,.2,40,1,28,1,0,63,2,0,15,14,2.44,読売ジャイアンツ,投手成績
*,又木　鉄平,3,0,1,0,0,0,0,0,0,.000,51,10,.1,11,2,10,0,0,7,0,0,7,7,6.10,読売ジャイアンツ,投手成績
*,メンデス,2,0,2,0,0,0,0,0,0,.000,27,4,.1,6,0,7,0,0,4,0,0,8,6,12.46,読売ジャイアンツ,投手成績
*,横川　凱,12,3,1,0,0,2,0,0,0,.750,111,28,.2,23,0,10,1,0,9,0,0,4,3,0.94,読売ジャイアンツ,投手成績
読売ジャイアンツ||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,投手成績
CS(ファイナルS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,投手成績
*,伊藤　将司,18,4,5,0,0,0,1,0,1,.444,323,74,,90,5,16,0,2,33,1,0,46,38,4.62,阪神タイガース,投手成績
*,岩崎　優,60,4,4,23,17,21,0,0,0,.500,231,57,.1,48,3,15,1,0,46,1,0,14,14,2.20,阪神タイガース,投手成績
*,岩貞　祐太,2,0,1,0,0,0,0,0,0,.000,9,1,.2,1,0,2,1,1,2,0,0,2,1,5.40,阪神タイガース,投手成績
