,投　手,登板,勝利,敗北,セ｜ブ,ホ｜ル,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,,安打,本塁打,四球,故意四,死球,三振,暴投,ボ｜ク,失点,自責点,防御率,球団,成績種別
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,広島東洋カープ,投手成績
*,石川　雅規,5,2,3,0,0,0,0,0,0,.400,96,19,.1,31,1,8,1,0,7,0,0,20,17,7.91,東京ヤクルトスワローズ,投手成績
*,荘司　宏太,23,1,0,0,12,13,0,0,0,1.000,89,23,.2,15,0,6,0,2,30,0,0,2,2,0.76,東京ヤクルトスワローズ,投手成績
*,高橋　奎二,6,2,2,0,0,0,0,0,0,.500,141,33,,29,3,13,1,1,31,2,0,11,11,3.00,東京ヤクルトスワローズ,投手成績
*,田口　麗斗,26,1,1,0,8,9,0,0,0,.500,86,19,.2,17,0,8,1,2,17,1,0,9,9,4.12,東京ヤクルトスワローズ,投手成績
*,長谷川　宙輝,2,0,0,0,0,0,0,0,0,.000,7,1,,1,0,2,0,1,0,0,0,0,0,0.00,東京ヤクルトスワローズ,投手成績
*,山野　太一,8,1,2,0,0,0,0,0,0,.333,181,42,,45,7,15,1,1,28,0,0,22,19,4.07,東京ヤクルトスワローズ,投手成績
*,山本　大貴,14,0,0,0,1,1,0,0,0,.000,61,13,.1,15,1,6,0,0,5,0,0,10,9,6.08,東京ヤクルトスワローズ,投手成績
東京ヤクルトスワローズ||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,東京ヤクルトスワローズ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,東京ヤクルトスワローズ,投手成績
*,大野　雄大,12,5,3,0,0,0,1,0,0,.625,276,70,,54,1,18,0,1,35,0,0,20,18,2.31,中日ドラゴンズ,投手成績
*,岡田　俊哉,3,0,1,0,0,0,0,0,0,.000,33,7,.1,10,1,1,0,0,8,0,0,7,7,8.59,中日ドラゴンズ,投手成績
*,金丸　夢斗,8,0,4,0,0,0,0,0,0,.000,208,52,.1,41,3,11,1,3,47,0,0,15,14,2.41,中日ドラゴンズ,投手成績
*,近藤　廉,3,0,0,0,1,1,0,0,0,.000,17,3,,4,0,4,0,0,5,0,0,2,2,6.00,中日ドラゴンズ,投手成績
*,齋藤　綱記,22,1,0,0,13,14,0,0,0,1.000,74,18,,10,1,10,1,1,15,0,0,1,1,0.50,中日ドラゴンズ,投手成績
*,橋本　侑樹,32,1,0,0,11,12,0,0,0,1.000,127,32,.2,22,1,10,2,1,28,1,0,4,4,1.10,中日ドラゴンズ,投手成績
*,福　敬登,12,0,0,0,3,3,0,0,0,.000,51,12,.2,8,0,5,0,0,9,0,0,0,0,0.00,中日ドラゴンズ,投手成績
*,マラー,11,3,5,0,0,0,0,0,0,.375,265,62,.1,65,5,12,1,2,60,4,0,28,26,3.75,中日ドラゴンズ,投手成績
*,松葉　貴大,16,7,6,0,0,0,1,0,0,.538,425,106,.2,95,3,26,1,4,42,0,0,25,24,2.03,中日ドラゴンズ,投手成績
*,三浦　瑞樹,7,2,3,0,0,0,0,0,0,.400,157,33,,38,4,22,1,1,21,1,1,20,17,4.64,中日ドラゴンズ,投手成績
中日ドラゴンズ||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,中日ドラゴンズ,投手成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,中日ドラゴンズ,投手成績
*,大江　竜聖,7,0,0,0,0,0,0,0,0,.000,23,6,,2,0,2,0,2,7,0,0,1,1,1.50,福岡ソフトバンクホークス,投手成績
*,大関　友久,15,7,3,0,0,0,0,0,0,.700,380,96,.2,66,5,23,1,3,71,0,0,19,18,1.68,福岡ソフトバンクホークス,投手成績
*,大野　稼頭央,4,0,0,0,0,0,0,0,0,.000,17,4,.1,4,0,2,0,0,1,0,0,0,0,0.00,福岡ソフトバンクホークス,投手成績
*,ヘルナンデス,21,1,2,0,4,5,0,0,0,.333,83,19,.2,19,0,6,0,3,18,0,0,9,9,4.12,福岡ソフトバンクホークス,投手成績
*,前田　純,10,2,2,0,0,0,0,0,0,.500,213,49,,44,3,17,0,6,31,0,0,18,17,3.12,福岡ソフトバンクホークス,投手成績
*,前田　悠伍,1,1,0,0,0,0,0,0,0,1.000,20,6,,4,0,1,0,0,2,0,0,0,0,0.00,福岡ソフトバンクホークス,投手成績
*,松本　晴,20,3,3,0,1,2,0,0,0,.500,234,55,.2,56,2,15,3,4,61,2,0,17,15,2.43,福岡ソフトバンクホークス,投手成績
*,モイネロ,16,8,2,0,0,0,2,1,1,.800,427,113,.1,74,5,26,0,2,117,0,0,18,16,1.27,福岡ソフトバンクホークス,投手成績
